Giorno, risorseRimaste, nonMalatiGov, asintomaticiGov, guaritiGov, nonMalatiSim, asintomaticiSim, guaritiSim, nuovi_asintGov, nuovi_guaritiGov, nuovi_asintSim, nuovi_guaritiSim, sintomatici, morti, nuovi_sint, nuovi_morti, tamponi
1, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
8, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 7827, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 103
14, 7814, 205, 0, 0, 203, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
15, 7801, 205, 0, 0, 202, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
16, 7788, 205, 0, 0, 201, 4, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
17, 7775, 205, 0, 0, 201, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
18, 7762, 204, 0, 0, 201, 3, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0
19, 7736, 204, 0, 0, 201, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
20, 7710, 204, 0, 0, 201, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
21, 7684, 204, 0, 0, 201, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
22, 7658, 204, 0, 0, 200, 4, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0
23, 7632, 204, 0, 0, 200, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
24, 7606, 204, 0, 0, 200, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
25, 7580, 204, 0, 0, 200, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
26, 7554, 204, 0, 0, 200, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
27, 7528, 204, 0, 0, 199, 5, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0
28, 7502, 204, 0, 0, 199, 5, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
