Giorno, risorseRimaste, nonMalatiGov, asintomaticiGov, guaritiGov, nonMalatiSim, asintomaticiSim, guaritiSim, nuovi_asintGov, nuovi_guaritiGov, nuovi_asintSim, nuovi_guaritiSim, sintomatici, morti, nuovi_sint, nuovi_morti, tamponi
1, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 7827, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 103
4, 7814, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
5, 7801, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
6, 7788, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
7, 7775, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
8, 7762, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
9, 7749, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
10, 7736, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
11, 7723, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
12, 7710, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
13, 7697, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
14, 7684, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
15, 7671, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
16, 7658, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
17, 7645, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
18, 7632, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
19, 7619, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
20, 7606, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
21, 7593, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
22, 7580, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
23, 7567, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
24, 7554, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
25, 7541, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
26, 7528, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
27, 7515, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
28, 7502, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
