Giorno, risorseRimaste, nonMalatiGov, asintomaticiGov, guaritiGov, nonMalatiSim, asintomaticiSim, guaritiSim, nuovi_asintGov, nuovi_guaritiGov, nuovi_asintSim, nuovi_guaritiSim, sintomatici, morti, nuovi_sint, nuovi_morti, tamponi
1, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 7827, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 103
8, 7814, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
9, 7801, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
10, 7788, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
11, 7775, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
12, 7762, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
13, 7749, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
14, 7736, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
15, 7723, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
16, 7710, 205, 0, 0, 204, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
17, 7697, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
18, 7684, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
19, 7671, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0
20, 7645, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
21, 7619, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
22, 7593, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
23, 7567, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
24, 7541, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
25, 7515, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
26, 7489, 204, 0, 0, 203, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0
27, 7463, 204, 0, 0, 203, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
28, 7437, 203, 0, 0, 203, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0
