Giorno, risorseRimaste, nonMalatiGov, asintomaticiGov, guaritiGov, nonMalatiSim, asintomaticiSim, guaritiSim, nuovi_asintGov, nuovi_guaritiGov, nuovi_asintSim, nuovi_guaritiSim, sintomatici, morti, nuovi_sint, nuovi_morti, tamponi
1, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
8, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 8239, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
14, 8226, 205, 0, 0, 203, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
15, 8213, 205, 0, 0, 202, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
16, 8200, 205, 0, 0, 201, 4, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
17, 8187, 205, 0, 0, 201, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
18, 8174, 204, 0, 0, 201, 3, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0
19, 8148, 204, 0, 0, 201, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
20, 8122, 204, 0, 0, 201, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
21, 8092, 203, 1, 0, 201, 3, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1
22, 8065, 202, 1, 0, 200, 3, 0, 0, 0, 1, 0, 3, 0, 1, 0, 0
23, 8025, 202, 1, 0, 200, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0
24, 7985, 202, 1, 0, 200, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0
25, 7945, 202, 1, 0, 200, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0
26, 7905, 202, 1, 0, 200, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0
27, 7865, 202, 1, 0, 199, 4, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0
28, 7825, 202, 1, 0, 199, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0
