Giorno, risorseRimaste, nonMalatiGov, asintomaticiGov, guaritiGov, nonMalatiSim, asintomaticiSim, guaritiSim, nuovi_asintGov, nuovi_guaritiGov, nuovi_asintSim, nuovi_guaritiSim, sintomatici, morti, nuovi_sint, nuovi_morti, tamponi
1, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
8, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 8239, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
14, 8222, 204, 1, 0, 203, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1
15, 8208, 204, 1, 0, 202, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
16, 8194, 204, 1, 0, 201, 4, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
17, 8176, 204, 1, 0, 201, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
18, 8162, 204, 1, 0, 201, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
19, 8148, 203, 1, 0, 201, 3, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0
20, 8121, 203, 1, 0, 201, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
21, 8094, 203, 1, 0, 201, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
22, 8067, 203, 1, 0, 201, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
23, 8040, 203, 1, 0, 201, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
24, 8009, 202, 2, 0, 200, 4, 0, 1, 0, 1, 0, 2, 0, 0, 0, 1
25, 7981, 202, 2, 0, 200, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
26, 7953, 202, 2, 0, 200, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
27, 7925, 202, 2, 0, 199, 5, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0
28, 7897, 202, 2, 0, 199, 5, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
